"","title","link"
"1","Szinte biztos, hogy magyar származású lesz az USA külügyminisztere","https://24.hu/kulfold/2020/11/23/antony-blinken-usa-kulugyminiszter-joe-biden/"
"2","Jövo júliustól már nem Michael Ignatieff lesz a CEU rektora","https://24.hu/kozelet/2020/06/23/jovo-juliustol-mar-nem-michael-ignatieff-lesz-a-ceu-rektora/"
"3","Ascher Tamás: A mi egyetemünk minden üldöztetés ellenére is jobb és sikeresebb, mint a riválisé","https://24.hu/kultura/2020/07/03/ascher-tamas-interju-szinhaz-es-filmmuveszeti-egyetem-szfe/"
"4","A nap legfontosabb hírei – 2020. június 23.","https://24.hu/fn/gazdasag/2020/06/23/a-nap-legfontosabb-hirei-2020-junius-23/"
"5","Az elmúlt 24 órában nem volt spanyol halálos áldozata a járványnak","https://24.hu/kulfold/2020/06/01/koronavirus-spanyolorszag-nem-volt-halalos-aldozat/"
"6","A Facebook felett bíráskodik, de nincs saját fiókja a Facebook-bizottság magyar tagjának","https://24.hu/tech/2020/05/21/sajo-andras-facebook-ellenorzo-bizottsag-tag-fiok/"
"7","Koronavírus: egy láthatatlan ellenséggel küzdünk","https://24.hu/tudomany/2020/05/02/ceu-hatartalan-tudas-koronavirus-lathatatlan-betegseg-vilagjarvany-szocialis-izolacio-pestis/"
"8","Lantos Gabriella: Tanárok és orvosok halálközeli élményei pandémia idején","https://24.hu/belfold/2020/05/20/lantos-gabriella-tanarok-es-orvosok-halalkozeli-elmenyei-pandemia-idejen/"
"9","Sajó András: Nem a Facebookkal van gond, hanem azokkal, akik használják","https://24.hu/tech/2020/05/15/sajo-andras-facebook-ellenorzo-bizottsag-oversight-board-interju-kozossegi-media/"
"10","EU-fotanácsnok: jogsérto volt a lex CEU","https://24.hu/kulfold/2020/03/05/ceu-europai-unio-europai-birosag-jogsertes/"
"11","Végre lehet hova fordulnunk, ha gondunk van a Facebookkal","https://24.hu/kulfold/2020/05/07/vegre-lehet-hova-fordulnunk-ha-gondunk-van-a-facebookkal/"
"12","Koronavírus: ismét 300 alatt az új áldozatok száma Spanyolországban","https://24.hu/kulfold/2020/04/30/covid-19-koronavirus-spanyolorszag-uj-aldozatok-szama/"
"13","Bozóki: Orbánnál bármelyik ellenzéki jobb lenne","https://24.hu/kozelet/2020/04/27/bozoki-orbannal-barmelyik-ellenzeki-jobb-lenne/"
"14","CEU-professzor: Ez a mostani életem legszomorúbb része, amit felépítettünk, azt kiszorították","https://24.hu/belfold/2020/02/02/ceu-professzor-klaniczay-gabor/"
"15","Utcákat és lakótelepet is neveztek el róla, pedig sosem létezett","https://24.hu/kultura/2020/04/24/guszev-utca-tiszt-illes-bela-mikus-bela-kadar-rakosi-kor-szocializmus-ismeretlen-budapest/"
"16","„Nem volt ránk szükség Magyarországon”","https://24.hu/kulfold/2020/04/01/podcast-kilepok-peterfy-gergely-spanyolorszag-saringer-attila-gyerekorvos/"
"17","Koronavírus: Megint fekete napja volt Spanyolországnak","https://24.hu/kulfold/2020/03/28/koronavirus-megint-fekete-napja-volt-spanyolorszagnak/"
"18","Bedeszkázta egy étterem a CEU világhíru babalaboratóriumának ablakait","https://24.hu/belfold/2020/01/24/deszka-etterem-ceu-babalaboratorium/"
"19","Soros: A CEU megvédte az akadémiai szabadságot Orbán Viktor korrupt kormányától","https://24.hu/kulfold/2019/11/15/soros-a-ceu-megvedte-az-akademiai-szabadsagot-orban-viktor-korrupt-kormanyatol/"
"20","Lenin-fiúk kontra mucsaiak – már 30 éve megjelentek a gyulöletpolitika csírái","https://24.hu/belfold/2020/04/04/rendszervaltas30-lenin-fiuk-kontra-mucsaiak-valasztasok-1990-antall-kis-csurka-tgm-tevevita/"
"21","Ezért gyozhette le Orbán a Néppártot","https://24.hu/kulfold/2020/03/01/ezert-gyozhette-le-orban-a-neppartot/"
"22","A politikus, akinek a füle alakít a személyiségén","https://24.hu/kozelet/2020/01/31/a-politikus-aki-a-fulevel-a-modosit-a-szemelyisegen/"
"23","A bajor állam közölte: a magyarok miatt nem egyezett meg a CEU a müncheni egyetemmel","https://24.hu/kulfold/2019/12/18/bajororszag-ceu-fidesz/"
"24","Kevesebb támogatást kaptak idén a CEU mellett kiálló szakkollégiumok","https://24.hu/belfold/2019/12/15/szakkollegium-tamogatas-megvonas-ceu/"
"25","Charles Gati az amerikai nagykövet távozásáról ír","https://24.hu/belfold/2020/02/19/charles-gati-az-amerikai-nagykovet-tavozasarol-ir/"
"26","Német lap: Orbánnak az uniós pénzek abszurd eltékozlásáról kellene konzultációt indítania","https://24.hu/kulfold/2020/02/18/nemet-lap-orban-konzultacio/"
"27","Eljutottak a klímaválságig: nagy fordulatot hozhatnak Orbán tervei","https://24.hu/belfold/2020/02/17/orbin-viktor-evertekelo-klimavaltozas-akcioterv/"
"28","Bayer Zsolt adatigényléssel tudná meg, mások mennyiért laknak a budai Várban","https://24.hu/belfold/2020/02/15/bayer-zsolt-budai-var-onkormanyzati-lakas-adatigenyles/"
"29","Bárki kerülhet olyan helyzetbe, hogy egy tál ingyen ételért áll sorba","https://24.hu/kultura/2020/02/16/heti-betevo-etelosztas-jotekonysagi-szervezet-highlights-of-hungary/"
"30","Tizenötezer embert küldhet el a Mercedes","https://24.hu/fn/gazdasag/2020/02/10/mercedes-daimler-leepites-kecskemet-tesla-audi-autoipar/"
"31","Az ismert bécsi vicc a pesti emberre is igaz","https://24.hu/kozelet/2020/02/07/elet-es-irodalom-orban-terey-osztondij-nyugdij-eu-becsi-vicc/"
"32","A nap legfontosabb hírei – 2020. február 2.","https://24.hu/belfold/2020/02/02/a-nap-legfontosabb-hirei-2020-februar-2/"
"33","„Mi lesz itt, ha mindenki számára világossá válik, hogy a rendszer velejéig romlott és menthetetlen?”","https://24.hu/kultura/2020/02/02/gyurgyak-janos-essze-matine/"
"34","Bozóki: Orbánék összefüggo, rendszerszintu rombolást végeznek a kultúrában","https://24.hu/belfold/2020/02/01/bozoki-andras-hattal-europanak-kultura-orban-viktor/"
"35","Ami van, az attól dermeszto, hogy rendszerszeru","https://24.hu/belfold/2020/01/28/hattal-europanak-jelentes-oktatas-kultura-media-tudomany/"
"36","Globális egyetemi hálózatot indít Soros György","https://24.hu/kulfold/2020/01/24/soros-gyorgy-egyetemi-halozat/"
"37","CEU-rektor: Az Orbán-kormánnyal szembeni kapituláció nem opció","https://24.hu/kozelet/2019/10/08/ceu-becs-kampusz-megnyito/"
"38","FAZ: a Fidesz felfüggesztésének meghosszabbítását javasolják a néppárti bölcsek","https://24.hu/kulfold/2020/01/22/fidesz-kizaras-europai-neppart/"
"39","Bajnai volt kabinetfonöke lett a Budapesti Városüzemeltetési Holding vezérigazgatója","https://24.hu/fn/gazdasag/2019/12/04/walter-katalin-budapesti-varosuzemeltetesi-holding/"
"40","Tönkreteheti egy szatíra a kétezer éves keresztény hit értékeit?","https://24.hu/kultura/2020/01/12/krisztus-elso-megkisertese-netflix-brazil-film-keresztenyseg-bolsonaro/"
"41","Hiába a hatalom, van, amibe Orbán sem mer belevágni","https://24.hu/kozelet/2020/01/10/hiaba-a-hatalom-van-amibe-orban-sem-mer-belevagni/"
"42","Csurkával is védi Varga Juditot a fideszes médiaholding feje","https://24.hu/kozelet/2019/11/28/csurkaval-is-vedi-varga-juditot-a-fideszes-mediaholding-feje/"
"43","Berlusconi pártja marasztalja a Fideszt a Néppártban","https://24.hu/kulfold/2019/12/20/forza-italia-fidesz-europai-neppart-tajani/"
"44","A nap legfontosabb hírei – 2019. december 18.","https://24.hu/kulfold/2019/12/18/a-nap-legfontosabb-hirei-2019-december-18/"
"45","Csányi Sándor: Orbán miatt nincsenek oligarchák","https://24.hu/kozelet/2019/12/18/csanyi-sandor-orban-miatt-nincsenek-oligarchak/"
"46","Karafiáth: Gajda, nálad Elena Ceuscescu is okés lenne?","https://24.hu/poszt-itt/2019/11/09/karafiath-emine-erdogan-kispest-ovoda/"
"47","Országos szintre emelné a Párbeszéd Karácsony hét pontját","https://24.hu/belfold/2019/10/21/orszagos-szintre-emelne-a-parbeszed-karacsony-het-pontjat/"
"48","Csendben elhal a CEU-t célzó mentoakció, az illetékesek az Orbán-kormányt okolják","https://24.hu/kulfold/2019/10/01/ceu-tum-targyalas-orban-kormany-elhal/"
"49","Megnyitott a CEU Bécsben","https://24.hu/kulfold/2019/09/30/ceu-becs-megnyitott/"
"50","Elúszhat a CEU bajor támogatása","https://24.hu/kozelet/2019/08/27/ceu-tum-megallapodas-2/"
"51","Hétfoi friss hírek, forgalom, idojárás – Reggeli pakk","https://24.hu/belfold/2019/12/16/hetfoi-friss-hirek-forgalom-idojaras-reggeli-pakk-126/"
"52","Karafiáth: Kicsit igazodunk, kicsit felmentünk","https://24.hu/belfold/2019/12/14/karafiath-velemeny-szinhaz-kultura-tuntetes-pim-vigszinhaz-eszenyi-eniko/"
"53","Manfred Weber kimondta: ellenzi a Fidesz visszatérését a Néppártba","https://24.hu/kulfold/2019/12/14/manfred-weber-ellenzi-fidesz-visszateres-neppart-epp-felfuggesztes/"
"54","Kormányinfó: „Nem maradhat következmények nélkül” a Gothár-ügy","https://24.hu/belfold/2019/12/12/kormanyinfo-boszorkanyuldozes-folyik-magyarorszag-ellen/"
"55","Két város, két átadás, két világ","https://24.hu/belfold/2019/11/15/ket-varos-ket-atadas-ket-vilag/"
"56","A férfiaktól elvárjuk, hogy elnyomják a noket, de ez nem mentség","https://24.hu/elet-stilus/2019/11/08/szexizmus-mergezo-ferfiassag-macso-gender-feminizmus/"
"57","Amerikai nagykövet: Orbán okos és hasonlóan gondolkodnak Trumppal","https://24.hu/kulfold/2019/11/07/orban-viktor-usa-magyarorszag-david-cornstein/"
"58","Magyar cég gyárt vegán felvágottat az amerikai piacra","https://24.hu/fn/gazdasag/2019/12/02/vegan-keszitmeny-plantcraft-export-usa/"
"59","Nyugati jogtudósok cikkben magyarázzák el, hogy Varga Judit csúsztat és valótlanságokat állít","https://24.hu/kulfold/2019/11/26/varga-judit-cikk-cafolat/"
"60","A magyar gazdaságot szélcsendre találták ki, de már itt van a vihar","https://24.hu/belfold/2019/11/05/ceu-gazdasag-valsag/"
"61","New York Times: A budapesti amerikai nagykövet aktívan szabotálja az amerikai diplomáciát","https://24.hu/belfold/2019/10/22/new-york-times-a-budapesti-amerikai-nagykovet-aktivan-szabotalja-az-amerikai-diplomaciat/"
"62","Gy. Németh Erzsébet: Itt pofára osztották a pénzt","https://24.hu/kultura/2019/11/25/gy-nemeth-erzsebet-interju-fovaros-kultura-tao-szinhaz-stadion-tarlos-karacsony/"
"63","A nap legfontosabb hírei – 2019.11.15.","https://24.hu/kulfold/2019/11/15/a-nap-legfontosabb-hirei-2019-11-15/"
"64","Palócz Éva: Minél konokabban támadja a kormány Brüsszelt, annál kevésbé számít a szavunk","https://24.hu/belfold/2019/11/29/palocz-eva-tarki-interju-gazdasag-valsag/"
"65","Cseh Katalin levelet írt az amerikai Kongresszusnak","https://24.hu/kulfold/2019/11/12/cseh-katalin-usa-kongresszus-orban-viktor/"
"66","Még a végén Trump bukásának is Trianon lesz az oka","https://24.hu/kulfold/2019/11/08/orban-viktor-putyin-donald-trump-usa-impeachment-trianon-ukrajna/"
"67","A nap legfontosabb hírei – 2019. november 5.","https://24.hu/belfold/2019/11/05/a-nap-legfontosabb-hirei-2019-november-5/"
"68","A pofátlan albérletárak a dühítobbek, vagy az, hogy diktátorok tesznek tönkre országokat?","https://24.hu/kultura/2019/11/04/a-pofatlan-alberletarak-a-duhitobbek-vagy-az-hogy-diktatorok-tesznek-tonkre-orszagokat/"
"69","Enyedi Éva: Mindenki áldozat és bunös egyszerre","https://24.hu/kultura/2019/10/09/enyedi-eva-interju/"
"70","Soros György üzent a CEU közösségének","https://24.hu/kulfold/2019/08/16/soros-gyorgy-ceu-uzenet/"
"71","Pálinkás a befogott orrúakkal verné Orbánt","https://24.hu/belfold/2019/10/31/palinkas-jozsef-orban-viktor-partalapitas-ner/"
"72","Schneider: ha Orbánék célja az energiatermelés lenne, nem az atomot választják","https://24.hu/fn/gazdasag/2019/10/30/mycle-scheider-atomeromu/"
"73","Momentumos alelnököt választott az európai liberális párt","https://24.hu/kulfold/2019/10/26/berg-daniel-momentum-alde-alelnok/"
"74","Csaba László: Orbán mítosza összeomlóban","https://24.hu/belfold/2019/10/17/csaba-laszlo-orban-mitosza-osszeomloban/"
"75","Keddi friss hírek, forgalom, idojárás – Reggeli pakk","https://24.hu/belfold/2019/10/08/keddi-friss-hirek-forgalom-idojaras-reggeli-pakk-111/"
"76","A Fidesz úgy rúg szét mindent, mint tyúk a töreket","https://24.hu/kozelet/2019/10/04/a-fidesz-ugy-rug-szet-mindent-mint-tyuk-a-toreket/"
"77","Nem ez a klímacsúcs fogja megmenteni a világot","https://24.hu/tudomany/2019/09/25/ensz-klimacsucs-elemzes-klimavaltozas-globalis-felmelegedes-parizsi-klimaegyezmeny/"
"78","A CEU osztrák magánegyetemi akkreditációt kapott","https://24.hu/kulfold/2019/07/13/ceu-becs-ausztria-akkreditacio-maganegyetem/"
"79","Dezinformálnak minket, hogy ne bízzunk már senkiben és semmiben","https://24.hu/tech/2019/09/25/online-dezinformacio-alhir-dubli-data-summit-meg-chang-facebook-kozossegi-media/"
"80","Gulyás világossá tette: a CEU nem adhat amerikai diplomát Budapesten","https://24.hu/kulfold/2019/07/02/gulyas-gergely-ceu-amerikai-diploma/"
"81","Amerikának megfelel a CEU","https://24.hu/kozelet/2019/07/01/amerikanak-megfelel-a-ceu/"
"82","Nem is vizsgálta a kormány, hogy megfelel-e a CEU a törvénynek","https://24.hu/kozelet/2019/06/28/ceu-kormany-vizsgalat/"
"83","Behálózva, Orbánékkal – ez a világ baja","https://24.hu/belfold/2019/09/16/orban-viktor-donald-trump-facebook-fasizmus/"
"84","Az MTA elnöke lemondását fontolgatta","https://24.hu/kozelet/2019/08/01/az-mta-elnoke-lemondasat-fontolgatta/"
"85","Trócsányi lehetséges bukásáról ír a Guardian","https://24.hu/kulfold/2019/09/08/trocsanyi-lehetseges-bukasarol-ir-a-guardian/"
"86","Orbán Viktor ezt is kimozogta","https://24.hu/belfold/2019/09/07/orban-viktor-fidesz-epp-europai-neppart-kizaras/"
"87","Alex Soros: Várom a napot, amikor Magyarország ismét demokratikus ország lesz","https://24.hu/belfold/2019/06/24/alex-soros-ceu-soros-gyorgy/"
"88","Megszületett a CEU-megállapodás, a magyar kormányon múlik az egyetem sorsa","https://24.hu/fn/gazdasag/2019/05/07/ceu-tum-megallapodas/"
"89","Öt szentet avattak a magyarok","https://24.hu/tudomany/2019/08/20/szent-istvan-kiraly-papa-augusztus-20/"
"90","Még mindig rengetegen veszélyeztetik az életüket azért, hogy Európába meneküljenek","https://24.hu/kulfold/2019/08/17/menekultek-foldkozi-tenger-spanyolorszag-marokko/"
"91","A nap legfontosabb hírei – 2019.08.16.","https://24.hu/belfold/2019/08/16/a-nap-legfontosabb-hirei-2019-08-16/"
"92","A nap legfontosabb hírei – 2019.07.13.","https://24.hu/belfold/2019/07/13/a-nap-legfontosabb-hirei-2019-07-13/"
"93","Szabó Simon: Már nem megyek neki senkinek azért, mert mást gondol, mint én","https://24.hu/kultura/2019/08/11/szabo-simon-interju-moszkva-ter-magyar-film-politika-filmalap/"
"94","Orbán azt szeretné, ha az amerikaiak megszavaznák, hogy Magyarországon minden a leheto legnagyobb rendben van","https://24.hu/kulfold/2019/08/07/orban-fidesz-donald-trum-usa-magyarorszag-hatarozat/"
"95","Semmit nem ér a világ megmentésére kötött egyezség","https://24.hu/tudomany/2019/07/05/semmit-nem-er-a-vilag-megmentesere-kotott-egyezseg/"
"96","Orök elol bujkálnak az Afrikából menekülo gyerekek","https://24.hu/kulfold/2019/08/10/afrika-menekult-gyerekek-melilla-marokko-spanyolorszag-migracio/"
